customerID,tenure,MonthlyCharges,TotalCharges,Contract,Churn
6022-TRXC,52,100.15,1605.82,Month-to-month,Yes
4025-AFQO,15,115.96,1558.6,Two year,No
2580-USIE,72,68.79,2802.65,One year,Yes
9300-WPUS,61,30.97,3496.67,Two year,No
5935-VQWP,21,74.8,6664.5,Two year,No
7022-CGCH,24,65.44,1047.14,Month-to-month,No
6332-GYQP,3,104.44,5905.91,Month-to-month,Yes
1713-ZQOR,22,29.81,4298.49,One year,Yes
8720-IGFY,53,68.82,2374.77,One year,No
8363-XLGG,2,35.0,3993.27,One year,No
5258-KFZN,30,52.47,2469.54,Two year,No
0016-UKBJ,38,93.74,4809.05,Month-to-month,Yes
9598-ASRN,2,67.6,3527.37,Month-to-month,No
2614-LYWG,64,57.59,1398.8,Month-to-month,No
5198-HQPD,60,59.45,1021.01,One year,No
7575-AIAY,21,65.94,4418.9,Month-to-month,Yes
8830-WYCM,33,98.5,7229.06,Month-to-month,No
0771-MOGW,58,109.21,2817.27,Month-to-month,No
4257-FIZQ,22,115.53,5890.7,One year,No
4512-IPFF,49,98.69,5303.42,Month-to-month,No
0629-WBGR,59,51.54,7459.28,One year,Yes
2195-MUUE,42,88.81,6585.75,Month-to-month,No
0444-SRZC,60,63.76,4576.18,Month-to-month,No
4382-ELKH,15,45.47,5290.54,Month-to-month,No
2948-OBZV,62,104.09,7197.25,One year,No
9981-MFKB,62,23.84,3256.2,One year,No
3927-LKYZ,47,110.18,2681.68,Month-to-month,No
5712-ZPOT,62,66.15,185.41,Two year,No
0558-EYCE,51,83.72,6629.75,One year,No
5621-XGPQ,55,85.94,6427.75,One year,No
4559-FSGK,64,109.51,925.19,Month-to-month,Yes
6237-BLZZ,3,83.67,4657.17,Two year,No
0229-WWJE,51,81.39,3765.46,Month-to-month,No
8769-RAVH,7,26.67,1037.8,One year,No
6911-COHP,21,71.84,7846.49,One year,No
7262-MXVC,39,35.02,1796.1,Month-to-month,No
4207-QGTO,18,93.74,631.15,Month-to-month,No
4008-XOVP,4,71.22,4799.29,Two year,Yes
1138-UWXF,60,88.02,5937.05,Two year,Yes
2178-KQEY,14,24.17,356.3,One year,No
8988-ATIY,9,28.48,5303.87,Two year,Yes
8882-UCWW,53,91.63,4305.11,Two year,No
2843-UFAF,2,27.21,915.79,One year,No
3892-QKZN,60,27.13,1462.94,One year,No
9191-ZGCL,71,21.21,4587.0,One year,Yes
7365-KOGS,44,115.65,2441.23,One year,No
0957-TRJB,8,93.75,7512.69,Month-to-month,Yes
6338-SHIK,47,55.33,6568.05,One year,No
4214-YRXQ,35,49.65,7870.18,One year,No
3502-LPRM,36,54.97,2151.4,One year,No
4249-UECN,50,97.47,7760.82,Two year,No
6387-RFFA,4,86.14,3506.75,One year,Yes
2480-KQFS,2,38.52,2845.4,Month-to-month,No
4260-TUCL,6,37.41,497.76,Month-to-month,Yes
1950-GWLU,54,29.84,516.85,One year,No
6959-XPSN,4,86.03,5566.89,Month-to-month,Yes
8587-MGGQ,54,96.44,3717.64,Two year,No
7562-CHHI,63,46.5,1889.52,One year,No
5126-SBKO,18,22.09,4950.37,Month-to-month,No
4249-PSWT,44,28.22,2097.58,Month-to-month,No
3037-WYKT,34,116.79,4663.29,One year,No
5622-LAIR,62,49.54,2937.75,Month-to-month,Yes
4141-QAKO,14,96.92,6606.06,One year,No
0614-BJFI,48,82.47,6583.5,Month-to-month,Yes
7378-GCAO,15,58.19,3871.07,Two year,No
9367-QTYF,72,40.57,2871.47,Month-to-month,No
0116-OFST,62,32.14,2964.22,Month-to-month,No
1671-VZCA,40,81.5,6465.14,One year,No
3693-SBRQ,53,97.46,2692.62,Month-to-month,No
1786-DZUJ,24,84.39,1751.57,One year,No
4353-WVCY,26,73.03,769.04,Two year,Yes
6874-TZHV,60,24.2,3786.88,One year,No
